03.01.2021,2021-01-03
22.08.2017,2017-08-22
11/23/2015 T11:48,2015-11-23
04.09.2015,2015-09-04
06/30/1985 T20:00,1985-06-30
01.01.2000,2000-01-01
20.07.1944,1944-07-20
19.06.2015,2015-06-19
01/01/2024 T00:00,2024-01-01
24.05.2023,2023-05-24
12/15/2018 T12:22,2018-12-15
07/19/2014 T09:38,2014-07-19
12/24/2019 T03:35,2019-12-24
31.03.2007,2007-03-31
08/15/2010 T09:15,2010-08-15
05.05.2005,2005-05-05
03/06/2019 T12:24,2019-03-06
11/07/2005 T22:09,2005-11-07
11/09/1989 T15:54,1989-11-09
04/23/1982 T14:59,1982-04-23
09.11.1989,1989-11-09
11.11.2011,2011-11-11
06/28/2022 T10:00,2022-06-28
01.03.2003,2003-03-01
01/01/2000 T21:39,2000-01-01
25.12.1999,1999-12-25
21.12.2001,2001-12-21
31.10.1517,1517-10-31
05/05/2005 T11:23,2005-05-05
04/03/2023 T13:25,2023-04-03
14.08.2017,2017-08-14
07/20/1944 T13:59,1944-07-20
08.03.1987,1987-03-08
30.06.1985,1985-06-30
10/31/1517 T08:35,1517-10-31
08/08/1967 T15:24,1967-08-08
12/25/1999 T03:11,1999-12-25
11/11/2011 T14:28,2011-11-11
03.04.2023,2023-04-03
15.08.2010,2010-08-15
