Kadayawan Festival in 2016,"2016, Kadayawan Festival"
Boxing Day in 2021,"2021, Boxing Day"
Greenery Day in 1997,"1997, Greenery Day"
2018 Beltane Day,"2018, Beltane Day"
2019 Songkran Festival,"2019, Songkran Festival"
2022 Diwali,"2022, Diwali"
Easter in 1998,"1998, Easter"
2000 Losar Festival,"2000, Losar Festival"
Yeondeunghoe in 2008,"2008, Yeondeunghoe"
2002 German Unity Day,"2002, German Unity Day"
Tomb Sweeping Day in 2024,"2024, Tomb Sweeping Day"
2019 Hangul Day,"2019, Hangul Day"
2009 Labor Day,"2009, Labor Day"
Naadam Festival in 2021,"2021, Naadam Festival"
2009 Bastille Day,"2009, Bastille Day"
Valentine Day in 2024,"2024, Valentine Day"
2005 Victory Day,"2005, Victory Day"
Chuseok in 2020,"2020, Chuseok"
Chinese National Day in 2022,"2022, Chinese National Day"
2015 Showa Day,"2015, Showa Day"
Sizdah Bedar in 2016,"2016, Sizdah Bedar"
2024 Patronal Festival,"2024, Patronal Festival"
2009 Sangken Festival,"2009, Sangken Festival"
2004 Epiphany,"2004, Epiphany"
Nowroz in 2020,"2020, Nowroz"
2019 Canada Day,"2019, Canada Day"
2018 Ashura,"2018, Ashura"
Ascension Day in 2021,"2021, Ascension Day"
1995 Dragon Boat Festival,"1995, Dragon Boat Festival"
Independence Day in 2015,"2015, Independence Day"
2019 Oktoberfest,"2019, Oktoberfest"
1985 Mid Autumn Festival,"1985, Mid Autumn Festival"
Holi Festival in 2017,"2017, Holi Festival"
Saturnalia Festival in 1990,"1990, Saturnalia Festival"
Christmas in 1993,"1993, Christmas"
Whitsun in 2018,"2018, Whitsun"
2009 Tsukimi Festival,"2009, Tsukimi Festival"
2019 Thanksgiving Day,"2019, Thanksgiving Day"
Halloween in 2023,"2023, Halloween"
Eid al-Fitr in 2023,"2023, Eid al-Fitr"
